class,cbo,wmc,lcom
com.iluwatar.transactionscript.HotelDaoImpl$Anonymous1,1,3,0
com.iluwatar.typeobject.CellPool,5,9,0
com.iluwatar.intercepting.filter.TargetTest,2,1,0
com.iluwatar.visitor.Sergeant,2,3,3
com.iluwatar.flux.action.MenuItemTest,2,2,0
com.iluwatar.datatransfer.product.ProductDto$Name,0,1,0
com.iluwatar.registry.CustomerRegistry,3,3,0
com.iluwatar.subclasssandbox.GroundDive,2,2,1
com.iluwatar.interpreter.NumberExpression,1,4,0
com.iluwatar.idempotentconsumer.Request$Status,0,0,0
com.iluwatar.saga.choreography.ChoreographyChapter,1,4,6
com.iluwatar.identitymap.AppTest,2,1,0
com.iluwatar.retry.RetryExponentialBackoff,4,9,0
com.iluwatar.specification.selector.MovementSelector,3,2,0
com.iluwatar.bytecode.VirtualMachineTest,3,8,28
com.iluwatar.acyclicvisitor.Modem,1,1,0
com.iluwatar.doublechecked.locking.InventoryTest,8,4,0
com.iluwatar.eda.event.UserCreatedEvent,4,0,0
AppTest,2,1,0
com.iluwatar.fluentinterface.fluentiterable.lazy.LazyFluentIterable$Anonymous3$Anonymous4,1,3,0
com.iluwatar.queue.load.leveling.ServiceExecutor,3,5,0
com.iluwatar.separatedinterface.taxes.DomesticTaxCalculatorTest,2,1,0
com.iluwatar.iterator.AppTest,2,1,0
com.iluwatar.throttling.AppTest,2,1,0
com.iluwatar.leaderfollowers.TaskSetTest,3,2,1
com.iluwatar.payment.microservice.PaymentController,5,1,0
com.iluwatar.slob.AppTest,10,7,10
com.iluwatar.commander.queue.QueueTask$TaskType,0,0,0
com.iluwatar.specialcase.ApplicationServices,1,1,0
com.iluwatar.nullobject.TreeTest,8,7,0
com.iluwatar.page.controller.SignupModel,3,0,0
com.iluwatar.balking.WashingMachineTest$FakeDelayProvider,1,1,0
com.iluwatar.leaderelection.MessageType,0,0,0
com.iluwatar.page.controller.App,3,1,0
com.iluwatar.partialresponse.FieldJsonMapper,2,4,1
com.iluwatar.halfsynchalfasync.AsyncTask,1,4,6
com.iluwatar.repository.JpaRepository,1,3,3
com.iluwatar.dependency.injection.RivendellTobacco,1,0,0
com.iluwatar.acyclicvisitor.AllModemVisitor,2,0,0
com.iluwatar.layers.entity.CakeTest,4,5,10
com.iluwatar.aggregator.microservices.AggregatorTest,8,2,1
com.iluwatar.context.object.LayerB,3,2,0
App,3,4,1
com.iluwatar.flyweight.AlchemistShop,3,4,0
com.iluwatar.context.object.LayerA,3,2,0
com.iluwatar.context.object.LayerC,3,2,0
com.iluwatar.servicelayer.common.BaseEntity,2,4,6
com.iluwatar.activeobject.ActiveCreature,2,9,0
com.iluwatar.fanout.fanin.SquareNumberRequestTest,3,1,0
com.iluwatar.composite.LetterComposite,1,5,4
com.iluwatar.visitor.CommanderVisitor,5,3,3
HealthEndpointIntegrationTest,10,15,3
com.iluwatar.hexagonal.banking.MongoBank,8,9,15
com.iluwatar.payment.microservice.MainTest,2,1,0
com.iluwatar.servant.QueenTest,2,4,6
com.iluwatar.delegation.simple.PrinterController,1,2,0
com.iluwatar.reactor.app.AppClient,4,7,4
crtp.MmaBantamweightFighter,2,1,0
com.iluwatar.dependency.injection.GuiceWizardTest$Anonymous1,1,1,0
com.iluwatar.intercepting.filter.AppTest,2,1,0
com.iluwatar.updatemethod.StatueTest,4,4,0
com.iluwatar.data.locality.Application,2,1,0
RetryConfigTest,5,3,0
com.iluwatar.factory.method.App,5,1,0
com.iluwatar.bytecode.util.InstructionConverterUtilTest,3,2,1
com.iluwatar.commander.paymentservice.PaymentService$PaymentRequest,1,0,0
units.UnitTest,2,1,0
com.iluwatar.domainmodel.ProductTest,5,3,0
com.iluwatar.nullobject.NullNodeTest,2,2,1
com.iluwatar.component.component.graphiccomponent.ObjectGraphicComponent,3,1,0
com.iluwatar.doubledispatch.MeteoroidTest,7,6,15
com.iluwatar.poison.pill.Consumer,3,5,0
com.iluwatar.sharding.Data,3,2,0
com.iluwatar.hexagonal.module.LotteryTestingModule,7,1,0
com.iluwatar.commander.exceptions.ItemUnavailableException,0,0,0
com.iluwatar.proxy.IvoryTowerTest,6,3,0
com.iluwatar.intercepting.filter.Filter,2,4,6
com.iluwatar.roleobject.CustomerCoreTest,4,5,10
com.iluwatar.abstractfactory.ElfArmy,1,1,0
com.iluwatar.eda.AppTest,2,1,0
com.iluwatar.fluentinterface.app.AppTest,2,1,0
com.iluwatar.filterer.threat.ProbableThreat,1,1,0
com.iluwatar.halfsynchalfasync.App$ArithmeticSumTask,2,6,4
com.iluwatar.proxy.AppTest,2,1,0
com.iluwatar.sharding.LookupShardManagerTest,6,3,0
com.iluwatar.specialcase.AppTest,2,1,0
com.iluwatar.cqrs.dto.Book,5,0,0
com.iluwatar.proxy.WizardTower,1,1,0
com.iluwatar.Notification,3,2,0
com.iluwatar.property.Character,4,16,13
com.iluwatar.unitofwork.UnitOfWork,1,4,6
com.iluwatar.iterator.list.TreasureChestItemIterator,5,10,0
com.iluwatar.lockableobject.ExceptionsTest,2,2,0
com.iluwatar.model.view.presenter.FileLoaderTest,2,1,0
com.iluwatar.observer.generic.GWeatherTest,8,5,0
com.iluwatar.visitor.Commander,2,3,3
CpuHealthIndicatorTest,6,5,0
com.iluwatar.product.microservice.ProductControllerTest,4,3,0
com.iluwatar.spatialpartition.SpatialPartitionBubblesTest,5,1,0
com.iluwatar.strategy.DragonSlayer,1,3,0
com.iluwatar.abstractfactory.Kingdom$FactoryMaker$KingdomType,0,0,0
com.iluwatar.chain.OrcKing,6,3,1
com.iluwatar.chain.RequestHandler,1,4,6
com.iluwatar.memento.AppTest,2,1,0
com.iluwatar.servicelayer.wizard.Wizard,10,4,2
com.iluwatar.event.aggregator.EventEmitter,4,8,4
com.iluwatar.flux.view.MenuView,6,5,1
com.iluwatar.commander.shippingservice.ShippingService,5,4,3
com.iluwatar.doubledispatch.App,7,3,0
com.iluwatar.specification.selector.CompositeSelectorsTest,6,3,3
com.iluwatar.leaderfollowers.Worker,7,8,0
com.iluwatar.compositeentity.CompositeEntity,2,3,0
com.iluwatar.strangler.HalfArithmetic,4,4,0
com.iluwatar.fluentinterface.fluentiterable.lazy.DecoratingIterator,2,6,2
com.iluwatar.hexagonal.administration.ConsoleAdministration,8,8,3
com.iluwatar.business.delegate.AppTest,2,1,0
com.iluwatar.component.component.physiccomponent.PhysicComponent,1,1,0
com.iluwatar.corruption.system.AntiCorruptionLayerTest,12,2,0
com.iluwatar.promise.App,4,11,43
com.iluwatar.sharding.ShardManagerTest,5,6,0
com.iluwatar.databus.AbstractDataType,4,0,0
dto.CakeInfo,3,5,0
com.iluwatar.model.view.intent.CalculatorViewModelTest,10,8,21
com.iluwatar.model.view.controller.Health,1,1,0
com.iluwatar.visitor.SergeantVisitorTest,2,1,0
com.iluwatar.datamapper.StudentDataMapper,1,4,6
com.iluwatar.eda.event.AbstractEvent,1,1,0
com.iluwatar.object.pool.Oliphaunt,2,3,0
com.iluwatar.transactionscript.AppTest,2,1,0
com.iluwatar.async.method.invocation.ThreadAsyncExecutor$CompletableResult,4,14,0
com.iluwatar.ServerCommand,3,1,0
com.iluwatar.slob.lob.Animal,10,16,0
com.iluwatar.dynamicproxy.tinyrestclient.JsonUtil,4,7,0
com.iluwatar.composite.MessengerTest,6,5,8
com.iluwatar.flux.action.Content,1,1,0
com.iluwatar.lockableobject.CreatureTest,8,10,0
com.iluwatar.hexagonal.domain.LotteryTicketTest,5,1,0
com.iluwatar.dynamicproxy.tinyrestclient.TinyRestClient,7,20,26
com.iluwatar.flux.dispatcher.DispatcherTest,7,3,3
com.iluwatar.halfsynchalfasync.AsynchronousService$Anonymous1,1,3,0
com.iluwatar.presentationmodel.Album,3,0,0
com.iluwatar.abstractdocument.Document,1,3,3
com.iluwatar.masterworker.system.ArrayTransposeMasterWorkerTest,7,1,0
com.iluwatar.pageobject.pages.LoginPage,8,8,0
com.iluwatar.chain.OrcOfficer,4,5,6
com.iluwatar.page.controller.SignupModelTest,2,3,3
com.iluwatar.eda.event.UserUpdatedEvent,4,0,0
com.iluwatar.event.sourcing.state.AccountAggregate,1,4,0
com.iluwatar.activeobject.ActiveCreatureTest,3,1,0
com.iluwatar.iterator.App,8,6,6
com.iluwatar.saga.orchestration.OrderService,1,1,0
com.iluwatar.hexagonal.domain.LotteryTicketCheckResult$CheckResult,0,0,0
view.View,0,1,0
com.iluwatar.abstractfactory.Kingdom,5,0,0
com.iluwatar.saga.choreography.SagaApplicationTest,2,1,0
com.iluwatar.observer.OrcsTest,2,2,1
com.iluwatar.factorykit.App,4,1,0
crtp.MmaFighter,5,1,0
com.iluwatar.object.pool.OliphauntPool,2,1,0
com.iluwatar.saga.orchestration.SagaOrchestratorTest,10,3,3
com.iluwatar.subclasssandbox.SkyLaunch,2,2,1
com.iluwatar.commander.Retry$HandleErrorIssue,1,1,0
com.iluwatar.hexagonal.domain.LotteryTicketIdTest,2,1,0
com.iluwatar.specification.selector.SizeSelector,3,2,0
com.iluwatar.separatedinterface.invoice.TaxCalculator,0,1,0
com.iluwatar.bytecode.util.InstructionConverterUtil,3,10,3
com.iluwatar.privateclassdata.Stew,1,7,0
com.iluwatar.specialcase.Db$User,4,1,0
com.iluwatar.specification.creature.Shark,2,2,1
com.iluwatar.factory.method.Blacksmith,2,1,0
com.iluwatar.aggregator.microservices.Aggregator,6,1,0
com.iluwatar.specification.selector.MovementSelectorTest,3,1,0
com.iluwatar.twin.BallThread,4,7,0
com.iluwatar.repository.PersonSpecifications,1,0,0
com.iluwatar.hexagonal.domain.LotteryNumbers,4,8,1
com.iluwatar.sharding.Data$DataType,0,0,0
com.iluwatar.roleobject.BorrowerRoleTest,2,1,0
com.iluwatar.dirtyflag.App$Anonymous1,1,1,0
com.iluwatar.datamapper.DataMapperException,0,1,0
com.iluwatar.stepbuilder.AppTest,2,1,0
com.iluwatar.templatemethod.App,3,1,0
com.iluwatar.tolerantreader.RainbowFishSerializer,3,3,0
com.iluwatar.layers.view.CakeViewImplTest$InMemoryAppender,3,4,0
com.iluwatar.sessionserver.LogoutHandlerTest,6,3,0
com.iluwatar.transactionscript.HotelDaoImplTest$ConnectionSuccess$ExistingRoom,5,3,3
com.iluwatar.compositeview.ClientPropertiesBean,4,3,0
com.iluwatar.datatransfer.product.ProductDto$Request,4,0,0
com.iluwatar.promise.PromiseSupport,3,14,0
com.iluwatar.pageobject.LoginPageTest,5,2,0
com.iluwatar.leaderelection.bully.BullyinstanceTest,4,5,3
com.iluwatar.inventory.microservice.InventoryApplication,2,1,0
com.iluwatar.page.controller.UserView,2,1,0
com.iluwatar.front.controller.ArcherView,2,1,0
com.iluwatar.trampoline.Trampoline,3,6,15
com.iluwatar.model.view.intent.AppTest,2,1,0
com.iluwatar.servicetoworker.Dispatcher,5,4,0
com.iluwatar.iterator.Iterator,1,2,1
com.iluwatar.slob.serializers.BlobSerializer,2,3,3
com.iluwatar.servant.App,5,3,1
com.iluwatar.specialcase.InsufficientFunds,2,2,0
com.iluwatar.collectionpipeline.CarFactory,1,2,1
com.iluwatar.masterworker.ArrayUtilityMethodsTest,3,2,1
com.iluwatar.masterworker.App,7,2,0
com.iluwatar.parameter.object.App,5,1,0
com.iluwatar.caching.CachingTest,3,5,0
com.iluwatar.aggregator.microservices.ProductInformationClient,0,1,0
com.iluwatar.lockableobject.LockingException,0,1,0
com.iluwatar.singleton.EnumIvoryTowerTest,2,1,0
com.iluwatar.client.session.AppTest,2,1,0
com.iluwatar.filterer.threat.SimpleProbableThreat,4,3,0
com.iluwatar.price.microservice.PriceService,0,1,0
com.iluwatar.dao.InMemoryCustomerDaoTest$ExistingCustomer,5,4,6
com.iluwatar.roleobject.InvestorRoleTest,2,1,0
com.iluwatar.delegation.simple.printers.HpPrinter,2,1,0
com.iluwatar.saga.choreography.Saga$ChapterResult,0,0,0
com.iluwatar.hexagonal.domain.PlayerDetailsTest,2,1,0
com.iluwatar.observer.AppTest,2,1,0
com.iluwatar.factorykit.Weapon,0,0,0
com.iluwatar.compositeentity.SignalDependentObject,1,0,0
com.iluwatar.specialcase.MoneyTransaction,1,0,0
com.iluwatar.combinator.CombinatorAppTest,2,1,0
com.iluwatar.sharding.App,6,1,0
com.iluwatar.flux.store.ContentStore,5,2,0
com.iluwatar.lockableobject.domain.Human,1,1,0
com.iluwatar.servicelayer.common.Dao,1,5,10
com.iluwatar.hexagonal.App,4,1,0
com.iluwatar.privateclassdata.utils.InMemoryAppender,3,4,0
com.iluwatar.interpreter.MultiplyExpressionTest,3,2,1
exception.CakeBakingException,1,2,1
com.iluwatar.retry.RetryExponentialBackoffTest,4,6,3
com.iluwatar.presentationmodel.View$Anonymous2,1,1,0
com.iluwatar.presentationmodel.View$Anonymous1,2,1,0
com.iluwatar.presentationmodel.View$Anonymous3,1,1,0
com.iluwatar.service.VehicleService,4,5,0
com.iluwatar.memento.StarTest,3,2,1
com.iluwatar.front.controller.CatapultCommand,2,1,0
com.iluwatar.collectingparameter.PrinterQueue,2,6,0
com.iluwatar.filterer.threat.SimpleThreatAwareSystemTest,6,2,0
com.iluwatar.aggregator.microservices.ProductInventoryClientImpl,3,4,0
CustomHealthIndicatorTest$CacheConfig,4,1,0
com.iluwatar.model.view.viewmodel.BookViewModel,8,4,1
com.iluwatar.bridge.Enchantment,0,3,3
com.iluwatar.iterator.list.TreasureChest,4,3,1
com.iluwatar.collectionpipeline.App,5,1,0
com.iluwatar.iterator.bst.BstIteratorTest,5,6,0
com.iluwatar.intercepting.filter.AddressFilter,2,3,0
com.iluwatar.lockableobject.SwordOfAragorn,6,12,0
com.iluwatar.abstractfactory.AppTest,2,1,0
com.iluwatar.promise.Utility,1,7,6
com.iluwatar.prototype.OrcWarlord,4,2,0
com.iluwatar.multiton.App,2,1,0
com.iluwatar.ambassador.RemoteServiceStatus,1,1,0
com.iluwatar.servicetoworker.GiantViewTest,3,1,0
com.iluwatar.abstractdocument.AbstractDocumentTest$DocumentImplementation,1,1,0
com.iluwatar.guarded.suspension.App,2,3,0
com.iluwatar.singleton.InitializingOnDemandHolderIdiom$HelperHolder,1,0,0
com.iluwatar.mediator.PartyImpl,3,5,0
com.iluwatar.doubledispatch.CollisionTest,3,6,6
com.iluwatar.servicelayer.common.BaseDaoTest,8,11,0
com.iluwatar.api.gateway.ImageClient,0,1,0
com.iluwatar.servant.KingTest,2,8,28
com.iluwatar.model.view.controller.GiantViewTest$InMemoryAppender,3,4,0
com.iluwatar.builder.Profession,0,1,0
com.iluwatar.model.view.intent.actions.SetVariableCalculatorAction,3,1,0
com.iluwatar.business.delegate.BusinessLookup,4,2,0
com.iluwatar.servicelayer.magic.MagicServiceImplTest,8,5,10
com.iluwatar.front.controller.ViewTest,9,4,0
com.iluwatar.poison.pill.Message$Headers,0,0,0
com.iluwatar.poison.pill.ConsumerTest,10,5,0
com.iluwatar.throttling.BarCustomerTest,3,1,0
com.iluwatar.DataTransferObject,3,0,0
com.iluwatar.roleobject.RoleTest,3,1,0
com.iluwatar.specialcase.MaintenanceLock,3,3,1
com.iluwatar.business.delegate.NetflixService,2,1,0
com.iluwatar.tablemodule.UserTest,2,18,153
com.iluwatar.model.view.presenter.FileSelectorStub,2,12,30
com.iluwatar.visitor.VisitorTest,10,9,0
com.iluwatar.corruption.system.modern.Shipment,2,0,0
com.iluwatar.commander.paymentservice.PaymentService,5,5,3
com.iluwatar.flyweight.App,1,1,0
com.iluwatar.strategy.DragonSlayingStrategyTest,10,4,0
com.iluwatar.dependency.injection.AdvancedWizardTest,9,3,0
com.iluwatar.updatemethod.Entity,3,2,1
com.iluwatar.cqrs.domain.model.Book,8,2,1
com.iluwatar.featuretoggle.App,5,1,0
com.iluwatar.dao.AppTest,2,1,0
GarbageCollectionHealthIndicatorTest$Anonymous1,0,2,1
com.iluwatar.databus.members.MessageCollectorMemberTest,4,2,1
com.iluwatar.circuitbreaker.DefaultCircuitBreakerTest$Anonymous1,0,1,0
com.iluwatar.identitymap.PersonDbSimulator,1,4,6
com.iluwatar.parameter.object.SearchServiceTest,7,2,0
com.iluwatar.function.composition.AppTest,2,1,0
com.iluwatar.ambassador.RemoteServiceTest$StaticRandomProvider,1,2,0
com.iluwatar.collectingparameter.PaperSizes,0,0,0
com.iluwatar.saga.choreography.HotelBookingService,2,2,1
com.iluwatar.metamapping.utils.DatabaseUtil,2,3,0
com.iluwatar.updatemethod.WorldTest,5,5,0
com.iluwatar.roleobject.BorrowerRole,3,1,0
com.iluwatar.AppTest,2,1,0
com.iluwatar.saga.orchestration.ChapterResult$State,0,0,0
com.iluwatar.command.Target,5,5,3
com.iluwatar.producer.consumer.Producer,2,2,0
com.iluwatar.pageobject.AlbumPageTest,5,3,0
com.iluwatar.dynamicproxy.AppTest,1,1,0
com.iluwatar.acyclicvisitor.ZoomTest,5,2,1
com.iluwatar.model.view.viewmodel.BookService,1,1,0
com.iluwatar.queue.load.leveling.TaskGenSrvExeTest,4,1,0
com.iluwatar.state.PeacefulState,3,3,0
com.iluwatar.decorator.App,3,1,0
com.iluwatar.price.microservice.PriceServiceTest,2,1,0
com.iluwatar.callback.App,3,2,1
com.iluwatar.chain.Request,2,3,3
com.iluwatar.health.check.HealthCheckInterruptedException,0,1,0
com.iluwatar.event.aggregator.Weekday,1,1,0
com.iluwatar.strangler.NewSource,2,4,0
