class,cbo,wmc,lcom
com.alibaba.druid.bvt.filter.wall.WallSelectLimitTest,9,6,0
com.alibaba.druid.support.opds.udf.SqlParamsFill,5,6,3
com.alibaba.druid.bvt.sql.hive.HiveSelectTest_45_issue_3987,2,1,0
com.alibaba.druid.bvt.sql.hive.HiveCreateTableTest_43_dla,2,1,0
com.alibaba.druid.bvt.pool.exception.OracleExceptionSorterTest_stmt_execute,6,5,0
com.alibaba.druid.sql.builder.SQLFunctionBuilder,4,15,34
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_POSITION,8,1,0
com.alibaba.druid.bvt.sql.oracle.create.OracleCreateIndexTest18_global,4,1,0
com.alibaba.druid.pool.vendor.MockExceptionSorter,3,3,3
com.alibaba.druid.sql.repository.SchemaResolveVisitorFactory,75,413,465
com.alibaba.druid.bvt.sql.mysql.select.MySqlSelectTest_49_for_update_no_wait,4,1,0
com.alibaba.druid.sql.dialect.oracle.ast.stmt.OracleDropDbLinkStatement,4,6,2
com.alibaba.druid.sql.visitor.SchemaStatVisitor$MySqlOrderByStatVisitor,6,6,8
com.alibaba.druid.sql.dialect.oracle.visitor.OracleEvalVisitor,15,23,237
com.alibaba.druid.bvt.pool.CreateSchedulerTest_directCreate,5,7,0
com.alibaba.druid.sql.dialect.spark.parser.SparkLexer,3,3,3
com.alibaba.druid.bvt.sql.db2.DB2AlterTableTest_2,3,1,0
com.alibaba.druid.bvt.sql.mysql.SQLUtilsAddColumnTest,1,3,3
com.alibaba.druid.bvt.sql.mysql.param.MySqlParameterizedOutputVisitorTest_60_in,1,4,6
com.alibaba.druid.bvt.pool.DruidDataSourceTest7$Anonymous1,2,1,0
com.alibaba.druid.bvt.sql.eval.EvalTest_add,1,4,6
com.alibaba.druid.util.JdbcUtilsTest,1,8,28
com.alibaba.druid.bvt.utils.JdbcUtilsTest$Anonymous1,0,1,0
com.alibaba.druid.wall.spi.WallVisitorUtils$WallConditionContext,0,10,35
com.alibaba.druid.sql.ast.SQLPartition,3,2,1
com.alibaba.druid.sql.visitor.functions.BitLength,5,4,0
com.alibaba.druid.bvt.sql.oracle.OracleDeleteTest,5,1,0
com.alibaba.druid.bvt.pool.exception.OracleExceptionSorterTest_rollback,6,6,0
com.alibaba.druid.bvt.sql.mysql.createTable.MySqlCreateTableTest149_collate_before_generated,4,1,0
com.alibaba.druid.sql.ast.statement.SQLAlterProcedureStatement,7,19,102
com.alibaba.druid.bvt.bug.Issue5847,4,3,0
com.alibaba.druid.bvt.sql.eval.EvalMethodTest_left,1,1,0
com.alibaba.druid.sql.ast.SQLAnnIndex,5,17,13
com.alibaba.druid.bvt.bug.Issue5845,2,5,0
com.alibaba.druid.bvt.sql.oracle.select.OracleSelectTest_connect_by_root,4,1,0
com.alibaba.druid.sql.parser.SQLMergeTest,7,11,15
com.alibaba.druid.util.FnvHash$Constants,1,0,0
com.alibaba.druid.support.opds.udf.SqlParams,5,6,3
com.alibaba.druid.bvt.sql.oracle.OracleOuterTest,3,1,0
com.alibaba.druid.sql.dialect.clickhouse.ast.ClickhouseColumnTTL,5,7,0
com.alibaba.druid.sql.visitor.functions.IfNull,6,9,1
com.alibaba.druid.proxy.jdbc.JdbcParameter$TYPE,0,0,0
com.alibaba.druid.sql.dialect.postgresql.visitor.PGASTVisitor,38,66,2145
com.alibaba.druid.sql.dialect.hive.parser.HiveSelectParser,5,5,10
com.alibaba.druid.bvt.sql.eval.EvalMethodTest_instr,1,1,0
com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowRuleStatement,7,15,67
com.alibaba.druid.sql.dialect.mysql.ast.clause.MySqlDeclareStatement,3,6,0
com.alibaba.druid.bvt.sql.mysql.alterTable.MySqlAlterTableDrop_Test_2,3,1,0
com.alibaba.druid.bvt.filter.wall.TenantTestCallBack,2,4,6
com.alibaba.druid.bvt.sql.mysql.alterTable.MySqlAlterTableDrop_Test_1,3,1,0
com.alibaba.druid.pool.bonecp.TestLRU,9,15,15
